iso3,Country,Region,Year,GDP_per_Capita_EUR
BIH,Bosnia and Herzegovina,District Brcko,2000,7571.13
BIH,Bosnia and Herzegovina,Federation BiH,2000,6589.05
BIH,Bosnia and Herzegovina,Republic of Srpska,2000,5998.5
BIH,Bosnia and Herzegovina,District Brcko,2001,7722.72
BIH,Bosnia and Herzegovina,Federation BiH,2001,6722.04
BIH,Bosnia and Herzegovina,Republic of Srpska,2001,6119.400000000001
BIH,Bosnia and Herzegovina,District Brcko,2002,8101.2300000000005
BIH,Bosnia and Herzegovina,Federation BiH,2002,7051.26
BIH,Bosnia and Herzegovina,Republic of Srpska,2002,6419.79
BIH,Bosnia and Herzegovina,District Brcko,2003,8441.61
BIH,Bosnia and Herzegovina,Federation BiH,2003,7347.0
BIH,Bosnia and Herzegovina,Republic of Srpska,2003,6688.56
BIH,Bosnia and Herzegovina,District Brcko,2004,9700.83
BIH,Bosnia and Herzegovina,Federation BiH,2004,7729.2300000000005
BIH,Bosnia and Herzegovina,Republic of Srpska,2004,7373.97
BIH,Bosnia and Herzegovina,District Brcko,2005,10103.52
BIH,Bosnia and Herzegovina,Federation BiH,2005,7943.13
BIH,Bosnia and Herzegovina,Republic of Srpska,2005,8002.650000000001
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2006,2587.7400000000002
BIH,Bosnia and Herzegovina,District Brcko,2006,3323.16
BIH,Bosnia and Herzegovina,Federation BiH,2006,2739.465
BIH,Bosnia and Herzegovina,Republic of Srpska,2006,2312.85
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2007,2917.71
BIH,Bosnia and Herzegovina,District Brcko,2007,3792.36
BIH,Bosnia and Herzegovina,Federation BiH,2007,3084.5310000000004
BIH,Bosnia and Herzegovina,Republic of Srpska,2007,2604.57
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2008,3304.8
BIH,Bosnia and Herzegovina,District Brcko,2008,4100.4
BIH,Bosnia and Herzegovina,Federation BiH,2008,3468.51
BIH,Bosnia and Herzegovina,Republic of Srpska,2008,3012.57
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2009,3211.98
BIH,Bosnia and Herzegovina,District Brcko,2009,3819.39
BIH,Bosnia and Herzegovina,Federation BiH,2009,3380.9939999999997
BIH,Bosnia and Herzegovina,Republic of Srpska,2009,2926.89
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2010,3287.46
BIH,Bosnia and Herzegovina,District Brcko,2010,3907.62
BIH,Bosnia and Herzegovina,Federation BiH,2010,3469.122
BIH,Bosnia and Herzegovina,Republic of Srpska,2010,2960.55
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2011,3408.84
BIH,Bosnia and Herzegovina,District Brcko,2011,4086.63
BIH,Bosnia and Herzegovina,Federation BiH,2011,3535.167
BIH,Bosnia and Herzegovina,Republic of Srpska,2011,3097.23
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2012,3421.3860000000004
BIH,Bosnia and Herzegovina,District Brcko,2012,4320.72
BIH,Bosnia and Herzegovina,Federation BiH,2012,3591.93
BIH,Bosnia and Herzegovina,Republic of Srpska,2012,3063.06
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2013,3499.824
BIH,Bosnia and Herzegovina,District Brcko,2013,4393.14
BIH,Bosnia and Herzegovina,Federation BiH,2013,3694.083
BIH,Bosnia and Herzegovina,Republic of Srpska,2013,3134.46
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2014,3632.73
BIH,Bosnia and Herzegovina,District Brcko,2014,4488.0
BIH,Bosnia and Herzegovina,Federation BiH,2014,3882.987
BIH,Bosnia and Herzegovina,Republic of Srpska,2014,3174.75
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2015,3811.23
BIH,Bosnia and Herzegovina,District Brcko,2015,4590.0
BIH,Bosnia and Herzegovina,Federation BiH,2015,4085.1
BIH,Bosnia and Herzegovina,Republic of Srpska,2015,4039.71
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2016,4242.435
BIH,Bosnia and Herzegovina,District Brcko,2016,4681.8
BIH,Bosnia and Herzegovina,Federation BiH,2016,4516.713
BIH,Bosnia and Herzegovina,Republic of Srpska,2016,4243.2
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2017,4566.54
BIH,Bosnia and Herzegovina,District Brcko,2017,4848.57
BIH,Bosnia and Herzegovina,Federation BiH,2017,4750.14
BIH,Bosnia and Herzegovina,Republic of Srpska,2017,4456.89
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2018,4873.56
BIH,Bosnia and Herzegovina,District Brcko,2018,4982.7
BIH,Bosnia and Herzegovina,Federation BiH,2018,5096.736
BIH,Bosnia and Herzegovina,Republic of Srpska,2018,4745.55
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2019,5155.08
BIH,Bosnia and Herzegovina,District Brcko,2019,5531.97
BIH,Bosnia and Herzegovina,Federation BiH,2019,5386.62
BIH,Bosnia and Herzegovina,Republic of Srpska,2019,5014.32
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2020,5096.9400000000005
BIH,Bosnia and Herzegovina,District Brcko,2020,5554.92
BIH,Bosnia and Herzegovina,Federation BiH,2020,5192.667
BIH,Bosnia and Herzegovina,Republic of Srpska,2020,4996.47
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2021,5709.96
BIH,Bosnia and Herzegovina,District Brcko,2021,6096.03
BIH,Bosnia and Herzegovina,Federation BiH,2021,5933.34
BIH,Bosnia and Herzegovina,Republic of Srpska,2021,5650.8
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2022,6454.56
BIH,Bosnia and Herzegovina,District Brcko,2022,7065.54
BIH,Bosnia and Herzegovina,Federation BiH,2022,6941.1
BIH,Bosnia and Herzegovina,Republic of Srpska,2022,6617.25
